file	rule	baseline_errors	baseline_warnings	current_errors	current_warnings	delta_errors	delta_warnings	delta_total
artifacts/mockup-sandbox/src/components/ui/chart.tsx	@typescript-eslint/no-unsafe-argument	1	0	0	0	-1	0	-1
artifacts/mockup-sandbox/src/components/ui/chart.tsx	@typescript-eslint/no-unsafe-member-access	1	0	0	0	-1	0	-1
artifacts/mockup-sandbox/src/components/ui/chart.tsx	@typescript-eslint/restrict-template-expressions	1	0	0	0	-1	0	-1
artifacts/mockup-sandbox/src/components/ui/field.tsx	@typescript-eslint/array-type	1	0	0	0	-1	0	-1
artifacts/mockup-sandbox/src/components/ui/progress.tsx	@typescript-eslint/prefer-nullish-coalescing	1	0	0	0	-1	0	-1
artifacts/mockup-sandbox/src/components/ui/sidebar.tsx	@typescript-eslint/consistent-type-definitions	1	0	0	0	-1	0	-1
artifacts/mockup-sandbox/src/components/ui/sonner.tsx	@typescript-eslint/no-unsafe-assignment	1	0	0	0	-1	0	-1
artifacts/mockup-sandbox/src/hooks/use-toast.ts	@typescript-eslint/array-type	1	0	0	0	-1	0	-1
artifacts/mockup-sandbox/src/hooks/use-toast.ts	@typescript-eslint/no-unused-vars	1	0	0	0	-1	0	-1
client/src/App.tsx	@typescript-eslint/consistent-type-definitions	0	0	1	0	1	0	1
client/src/App.tsx	@typescript-eslint/no-unused-vars	2	0	1	0	-1	0	-1
docs/parity/evidence/audit-567-continue/lighthouse-final/lcp-candidate-probe.mjs	parsing-error	0	0	1	0	1	0	1
docs/parity/evidence/audit-567-continue/paint-first/atmosphere-repeat-check.mjs	parsing-error	0	0	1	0	1	0	1
docs/parity/evidence/audit-567-continue/paint-first/hydrate-check.mjs	parsing-error	0	0	1	0	1	0	1
docs/parity/evidence/audit-567-continue/paint-first/prefcp-tasks.mjs	parsing-error	0	0	1	0	1	0	1
scripts/audit-567-browser.mjs	parsing-error	0	0	1	0	1	0	1
scripts/validation/audit-567-compiled-server.ts	parsing-error	0	0	1	0	1	0	1
scripts/validation/audit-567-ink-accent.mjs	parsing-error	0	0	1	0	1	0	1
scripts/validation/audit-567-states.mjs	parsing-error	0	0	1	0	1	0	1
server/og-middleware.ts	@typescript-eslint/no-explicit-any	74	0	73	0	-1	0	-1
server/og-middleware.ts	@typescript-eslint/no-unsafe-call	22	0	21	0	-1	0	-1
server/ssr.ts	@typescript-eslint/consistent-indexed-object-style	0	0	1	0	1	0	1
tests/parity/reference-admin-catalog.mjs	parsing-error	0	0	1	0	1	0	1
tests/parity/reference-admin-operations.mjs	parsing-error	0	0	1	0	1	0	1
tests/parity/reference-extensions.mjs	parsing-error	0	0	1	0	1	0	1
